# Mapfile. Created by GNU ddrescue version 1.29
# Command line: ddrescue -f -n /dev/sda disk.img disk.log
# Start time:   2025-12-09 18:36:52
# Current time: 2025-12-09 18:37:32
# Copying non-tried blocks... Pass 5 (forwards)
# current_pos  current_status  current_pass
0x024C0000     ?               5
#      pos        size  status
0x00000000  0x024C0000  *
0x024C0000  0x14F890D0000  ?
0x14F8B590000  0x00020000  *
0x14F8B5B0000  0x29F16B10000  ?
0x3EEA20C0000  0x00020000  *
0x3EEA20E0000  0x53E2D630000  ?
0x92CCF710000  0x00020000  *
0x92CCF730000  0xA7C5AC70000  ?
0x13A92A3A0000  0x00020000  *
0x13A92A3C0000  0x14F8B58F0000  ?
0x28A1DFCB0000  0x00020000  *
0x28A1DFCD0000  0x29F16B1F0000  ?
0x52934AEC0000  0x00020000  *
0x52934AEE0000  0x53E2D63F0000  ?
0xA676212D0000  0x00020000  *
0xA676212F0000  0xA7C5AC7F0000  ?
0x14E3BCDAE0000  0x00020000  *
0x14E3BCDB00000  0x14F8B58FF0000  ?
0x29DC726AF0000  0x00020000  *
0x29DC726B10000  0x29F16B1FF0000  ?
0x53CDDD8B00000  0x00020000  *
0x53CDDD8B20000  0x51EB851EB0000  ?
0xA5B962A9D0000  0x00010000  *
0xA5B962A9E0000  0x51EB851EB0000  ?
0xF7A4E7C890000  0x00010000  *
0xF7A4E7C8A0000  0x51EB851EB0000  ?
0x149906CE750000  0x00010000  *
0x149906CE760000  0x51EB851EB0000  ?
0x19B7BF20610000  0x00010000  *
0x19B7BF20620000  0x51EB851EB0000  ?
0x1ED677724D0000  0x00010000  *
0x1ED677724E0000  0x51EB851EB0000  ?
0x23F52FC4390000  0x00010000  *
0x23F52FC43A0000  0x51EB851EB0000  ?
0x2913E816250000  0x00010000  *
0x2913E816260000  0x51EB851EB0000  ?
0x2E32A068110000  0x00010000  *
0x2E32A068120000  0x51EB851EB0000  ?
0x335158B9FD0000  0x00010000  *
0x335158B9FE0000  0x51EB851EB0000  ?
0x3870110BE90000  0x00010000  *
0x3870110BEA0000  0x51EB851EB0000  ?
0x3D8EC95DD50000  0x00010000  *
0x3D8EC95DD60000  0x51EB851EB0000  ?
0x42AD81AFC10000  0x00010000  *
0x42AD81AFC20000  0x51EB851EB0000  ?
0x47CC3A01AD0000  0x00010000  *
0x47CC3A01AE0000  0x51EB851EB0000  ?
0x4CEAF253990000  0x00010000  *
0x4CEAF2539A0000  0x51EB851EB0000  ?
0x5209AAA5850000  0x00010000  *
0x5209AAA5860000  0x51EB851EB0000  ?
0x572862F7710000  0x00010000  *
0x572862F7720000  0x51EB851EB0000  ?
0x5C471B495D0000  0x00010000  *
0x5C471B495E0000  0x51EB851EB0000  ?
0x6165D39B490000  0x00010000  *
0x6165D39B4A0000  0x51EB851EB0000  ?
0x66848BED350000  0x00010000  *
0x66848BED360000  0x51EB851EB0000  ?
0x6BA3443F210000  0x00010000  *
0x6BA3443F220000  0x51EB851EB0000  ?
0x70C1FC910D0000  0x00010000  *
0x70C1FC910E0000  0x51EB851EB0000  ?
0x75E0B4E2F90000  0x00010000  *
0x75E0B4E2FA0000  0x51EB851EB0000  ?
0x7AFF6D34E50000  0x00010000  *
0x7AFF6D34E60000  0x51EB851EB0000  ?
0x801E2586D10000  0x00010000  *
0x801E2586D20000  0x51EB851EB0000  ?
0x853CDDD8BD0000  0x00010000  *
0x853CDDD8BE0000  0x51EB851EB0000  ?
0x8A5B962AA90000  0x00010000  *
0x8A5B962AAA0000  0x51EB851EB0000  ?
0x8F7A4E7C950000  0x00010000  *
0x8F7A4E7C960000  0x51EB851EB0000  ?
0x949906CE810000  0x00010000  *
0x949906CE820000  0x51EB851EB0000  ?
0x99B7BF206D0000  0x00010000  *
0x99B7BF206E0000  0x51EB851EB0000  ?
0x9ED67772590000  0x00010000  *
0x9ED677725A0000  0x51EB851EB0000  ?
0xA3F52FC4450000  0x00010000  *
0xA3F52FC4460000  0x51EB851EB0000  ?
0xA913E816310000  0x00010000  *
0xA913E816320000  0x51EB851EB0000  ?
0xAE32A0681D0000  0x00010000  *
0xAE32A0681E0000  0x51EB851EB0000  ?
0xB35158BA090000  0x00010000  *
0xB35158BA0A0000  0x51EB851EB0000  ?
0xB870110BF50000  0x00010000  *
0xB870110BF60000  0x51EB851EB0000  ?
0xBD8EC95DE10000  0x00010000  *
0xBD8EC95DE20000  0x51EB851EB0000  ?
0xC2AD81AFCD0000  0x00010000  *
0xC2AD81AFCE0000  0x51EB851EB0000  ?
0xC7CC3A01B90000  0x00010000  *
0xC7CC3A01BA0000  0x51EB851EB0000  ?
0xCCEAF253A50000  0x00010000  *
0xCCEAF253A60000  0x51EB851EB0000  ?
0xD209AAA5910000  0x00010000  *
0xD209AAA5920000  0x51EB851EB0000  ?
0xD72862F77D0000  0x00010000  *
0xD72862F77E0000  0x51EB851EB0000  ?
0xDC471B49690000  0x00010000  *
0xDC471B496A0000  0x51EB851EB0000  ?
0xE165D39B550000  0x00010000  *
0xE165D39B560000  0x51EB851EB0000  ?
0xE6848BED410000  0x00010000  *
0xE6848BED420000  0x51EB851EB0000  ?
0xEBA3443F2D0000  0x00010000  *
0xEBA3443F2E0000  0x51EB851EB0000  ?
0xF0C1FC91190000  0x00010000  *
0xF0C1FC911A0000  0x51EB851EB0000  ?
0xF5E0B4E3050000  0x00010000  *
0xF5E0B4E3060000  0x51EB851EB0000  ?
0xFAFF6D34F10000  0x00010000  *
